playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/37i9dQZF1DWTE7dVUebpUW,2017,6Kkt27YmFyIFrcX3QXFi2o,Liability,72,Melodrama,163tK9Wjr9P9DmM0AVK7lm,Lorde,"['art pop', 'metropopolis', 'nz pop', 'pop']",76,0.587,0.229,10,-11.254,0,0.128,0.92,0.0,0.1,0.379,75.67,171728,4
https://open.spotify.com/playlist/37i9dQZF1DX0P7PzzKwEKl,2002,4SyadrABZJIjeND1HPJS31,Rollout (My Business),60,Word Of Mouf,3ipn9JLAPI5GUEo4y4jcoi,Ludacris,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",77,0.921,0.668,7,-8.73,1,0.235,0.0949,0.0,0.592,0.892,131.059,296587,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,1a9hBnJodCsNcp0HoJAObp,Your Song - Bonus Track,66,Bright Lights (Lights Re-pack / Bonus Version),0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,"['indietronica', 'metropopolis', 'pop', 'uk pop']",79,0.547,0.197,10,-12.002,1,0.0303,0.941,0.000756,0.144,0.402,133.85,191827,4
https://open.spotify.com/playlist/56r5qRUv3jSxADdmBkhcz7,2022,1Hohk6AufHZOrrhMXZppax,ALIEN SUPERSTAR,73,RENAISSANCE,6vWDO969PvNqNYHIOW5v0m,Beyoncé,"['pop', 'r&b']",93,0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,215460,4
https://open.spotify.com/playlist/37i9dQZF1DX8XZ6AUo9R4R,2016,1WkMMavIMc4JZ8cfMmxHkI,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",75,TROLLS (Original Motion Picture Soundtrack),31TPClRtHm23RisEBtV3X7,Justin Timberlake,"['dance pop', 'pop']",83,0.669,0.832,0,-5.721,1,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547,4
https://open.spotify.com/playlist/37i9dQZF1DWTE7dVUebpUW,2017,6fujklziTHa8uoM5OQSfIo,Black Beatles,75,SremmLife 2 (Deluxe),7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,"['melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'trap']",71,0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926,291893,4
https://open.spotify.com/playlist/37i9dQZF1DWWzQTBs5BHX9,2005,5XQavlXrNHBBvlN4IJqhqW,You Raise Me Up,62,Face To Face,5Z1CCuBsyhEHngq3U5IraY,Westlife,['boy band'],69,0.23,0.357,10,-6.596,1,0.0315,0.63,0.0,0.0886,0.174,114.229,241067,4
https://open.spotify.com/playlist/37i9dQZF1DX1vSJnMeoy3V,2006,4bVuIlGQBMWS7vIhcx8Ae4,What Hurts The Most,69,Me And My Gang,0a1gHP0HAqALbEyxaD5Ngn,Rascal Flatts,"['contemporary country', 'country', 'country road']",69,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,214107,4
https://open.spotify.com/playlist/37i9dQZF1DX4UkKv8ED8jp,2009,06T10fEzN8ZCcqzQZYA184,Gotta Be Somebody,67,Dark Horse,6deZN1bslXzeGvOLaLMOIF,Nickelback,"['alternative metal', 'canadian rock', 'post-grunge']",78,0.536,0.89,0,-5.222,1,0.0601,0.000354,0.00165,0.133,0.205,115.998,252653,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,5Aa33rAPkp7f7l1aVqsHO8,Fool Again,64,Westlife,5Z1CCuBsyhEHngq3U5IraY,Westlife,['boy band'],69,0.533,0.512,4,-6.851,1,0.0288,0.0475,0.0,0.0442,0.553,75.984,234867,4
